review_text,date,rating
Haters gona hate Life,November 04 2016,5
Talback I'm use this  but can't easily using this. My have helpful guide. Thanks for you ,November 04 2016,1
I don't like this at all This app really annoying me  how can I delete this app even I click uninstall. I hate this app in my phone. Please do something to make me able to delete for ever in my phone this app wasting my phone space,November 04 2016,1
NOPE,November 04 2016,3
Karate,November 04 2016,1
Talkback Good,November 04 2016,5
K K,November 04 2016,5
Its makes navigation very hard,November 04 2016,1
Works ok,November 04 2016,3
Mohammad Esmaeilzadeh,November 04 2016,5
SuperrR,November 04 2016,5
Good app,November 04 2016,5
Very useful app actually,November 04 2016,5
. Great,November 04 2016,5
Unwanted Don't want it  can't uninstall it. Very unhappy with this type of situation.,November 04 2016,1
Now we just need a better way to say anything to store apples and installation help with that because I couldn't see now please don't mark my words on that but I don't know I just made plans to make it a lot easier please,November 04 2016,3
Ugh stupid I really don't care about this,November 04 2016,1
Useful Well made and easy to use,November 04 2016,5
I just dont need it Just like the google text to speech i do not need this app... i cant get rid of it cause its a permanent app on my phone and its just annoying!! It should be an optional decision for the user to download it or not!!,November 04 2016,1
Yes Good,November 04 2016,5
"Forced to be a user of this application I'm not a free to use my own settings for! """""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" If you just said something I didn't hear you"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" STFU please.? please ? please ?""""",November 04 2016,1
Praveen kumar K,November 04 2016,1
Kiil Kiol,November 04 2016,5
Worst app Never download this app very bad app by this app my phone get fully locked and I was throwing this phone worst app,November 04 2016,1
Pls remove from Android system Pls remove this application on Android i think this is West application on Android and nothing is useful on this app,November 04 2016,1
So Good,November 03 2016,4
Holla. Fast safe and efficient.,November 03 2016,4
its amazing....... Also faster,November 03 2016,1
Kurang berguna di Indonesia :),November 03 2016,3
Top Apps,November 03 2016,5
Google talk Nice,November 03 2016,5
Let's peek See,November 03 2016,5
Excellent App,November 03 2016,5
No disable option I do not use it. I do not like it. It constantly auto-actuates when I am driving and can not remove my eyes from the road.,November 03 2016,1
Cool Nice,November 03 2016,5
How do you DISABLE it?I HATE IT😣,November 03 2016,1
No Dont install this monstet,November 03 2016,1
Voth,November 03 2016,5
One hand loves it... When you got one hand like me you need it,November 03 2016,4
Go away I dont want this app,November 03 2016,1
Games,November 03 2016,5
Good,November 03 2016,5
ok pkpk,November 03 2016,5
🤔 I don't know what this is but I have to blindly trust it.,November 03 2016,5
Google Talk back,November 03 2016,5
Google talkback Nice app,November 03 2016,5
Parikhit.... Mzza app.....,November 03 2016,5
Best,November 03 2016,5
Useless,November 03 2016,1
nice ok,November 03 2016,5
W/o Useless,November 03 2016,1
Bhavesh Bjcg,November 03 2016,3
totally useless  developer should remove from google paly. worst app ever.,November 03 2016,1
Nice,November 03 2016,5
Google TalkBack,November 03 2016,5
Goods talk back,November 03 2016,5
Samsung Galaxy J5.6,November 03 2016,5
Goods Goods na goods,November 03 2016,5
Wow Wow,November 03 2016,5
Superb.. Google talkback is superb app,November 02 2016,4
It's like a dust,November 02 2016,1
Sharif Nice,November 02 2016,5
Best Best,November 02 2016,5
best Best app,November 02 2016,1
Good Thanks,November 02 2016,5
Deta giver Love it,November 02 2016,2
google turned on taulk back,November 02 2016,5
HATE IT Uh always does nothing that app SUUUUUHHHUUUHCCCCCCCCXKKKKKKKKKKKKKSSSSSSSS😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😮😮😮,November 02 2016,1
Licky theet Goood,November 02 2016,5
Tejasdada I didnt talk back its love,November 02 2016,5
77539 Reynaldo Ramos,November 02 2016,5
Beast,November 02 2016,3
Terrible idea Its so aggravating  like can you not make this a mandatory app  what blind person buys a touch screen phone???,November 02 2016,1
Great app Its zipidy sobidy,November 02 2016,5
jabu sekoto,November 02 2016,1
Very very useful This a well featured app and useful,November 02 2016,5
Activated,November 02 2016,5
Microphone Can't hear talkback,November 02 2016,5
Garbage like google,November 02 2016,1
Good Nice and very useful,November 02 2016,4
Not nice,November 02 2016,1
Deepak Chettri Nice n Best,November 02 2016,5
nice update,November 02 2016,5
Is realy good app and esay to use i love it Works super amazing i realy edict too,November 02 2016,5
Very frail,November 02 2016,1
I could not update it for along time Since updated my phone google play works very much better i think it's been my problem solution,November 02 2016,5
Loved it...,November 02 2016,5
Love it's,November 02 2016,5
Hardev Koli,November 02 2016,5
Loved it,November 02 2016,5
Great App & very useful,November 02 2016,5
Feel style Qeert,November 02 2016,5
Setting tuch- -© Love it,November 02 2016,4
Don't use it Why can't I uninstall this permanently?,November 01 2016,2
I don't need it... So i don't have to update the app... I want to delete but i cant.. Haha,November 01 2016,3
Chumma Chumma do,November 01 2016,5
